categoria;complejo;numero de partido;etapa;dia y horario;pareja
C5 40;EL PORTAL;49;16vos;SABADO 15:30 HS;MARCOTE / TOCCI vs BULACIO / S. VARELA
C5 40;EL PORTAL;50;8vos;SABADO 15:30 HS;SANTILLAN / JAURETCHE vs ALEGRE / CEDERO
C5 40;EL PORTAL;51;8vos;SABADO 19:15 HS;HERRERA / BUONO vs J. SUAREZ / OROSCO
C5 40;EL PORTAL;52;8vos;SABADO 19:15 HS;TRAVERSO / BRAGAIOLI vs G. FARIAS / CIPITELLI
C5 40;EL PORTAL;53;8vos;SABADO 15:30 HS;D. RUIZ / FERREIRO vs PIERSANTOLINI / QUARANTA
C5 40;EL PORTAL;54;8vos;SABADO 15:30 HS;MACAUDIER / ROCHA vs MAFFEO / BURGOS
C5 40;EL PORTAL;55;8vos;SABADO 18:00 HS;H. DUETTE / KAUFMANN vs SCARPATO / ESTAVRE
C5 40;EL PORTAL;56;8vos;SABADO 18:00 HS;A. NICOTERA / RIVADENEYRA vs J. NICOTERA / BAGNATI
C5 40;EL PORTAL;57;8vos;SABADO 20:45 HS;#49 vs #50
C5 40;EL PORTAL;58;4tos;SABADO 22:15 HS;#51 vs #52
C5 40;EL PORTAL;59;4tos;SABADO 19:15 HS;#53 vs #54
C5 40;EL PORTAL;60;4tos;SABADO 22:15 HS;#55 vs #56
C5 40;REAL PADEL;61;4tos;DOMINGO 12:00 HS;#57 vs #58
C5 40;REAL PADEL;62;Semifinal;DOMINGO 12:00 HS;#59 vs #60
C5 40;REAL PADEL;64;Final;DOMINGO 16:00 HS;#61 vs #62
C6;LA MECA;34;16vos;VIERNES 18:00 HS;LOPEZ DEL MOLINO / TAMI vs MORI / BIONDO
C6;LA MECA;35;16vos;VIERNES 19:15 HS;DI SIPIO / MENGARELLI vs VARELA / GARAY
C6;LA MECA;36;16vos;VIERNES 20:30 HS;G. LODEIRO / E. LODEIRO vs FERRO / E. LOPEZ
C6;LA MECA;37;16vos;VIERNES 18:00 HS;BENZ / D. LOPEZ vs CASTRO / R. MARTINEZ
C6;LA MECA;38;16vos;VIERNES 20:30 HS;I. PEREZ / COURTIS vs CALVIERI / DAURELI
C6;LA MECA;39;16vos;VIERNES 19:15 HS;SALVATIERRA / CONDE MEIRA vs ORTEGA / YASKOWIAK
C6;LA MECA;40;16vos;VIERNES 21:45 HS;H. DIAZ / MERCADO vs DUCLOS / CORBALAN
C6;LA MECA;41;16vos;VIERNES 23:00 HS;BALIÑO / CALIGIURI vs PEPE / BAZAN
C6;LA MECA;42;16vos;VIERNES 19:15 HS;PADOVANI / RIETZCH vs AGUILAR / BARRIOS
C6;LA MECA;43;16vos;VIERNES 23:00 HS;BARRETO / J. FERNANDEZ vs REYNOSO / BELLOCQ
C6;LA MECA;44;16vos;VIERNES 21:15 HS;COLOMBINI / TMCZYSZYN vs VERA / PAEZ
C6;LA MECA;45;16vos;VIERNES 23:00 HS;SENA / P. BERMUDEZ vs TRAPANI / LEDESMA
C6;LA MECA;46;16vos;VIERNES 21:45 HS;F. RODRIGUEZ / SAN PEDRO vs D. ROJAS / A. LOPEZ
C6;LA MECA;47;16vos;VIERNES 19:15 HS;CHAVES / ALAYON vs RICCI / CASTILLO
C6;LA MECA;48;16vos;VIERNES 23:00 HS;D. FERNANDEZ / MARCHEGIANI vs DI COSTANZO / BURGOS
C6;LA MECA;49;16vos;VIERNES 18:00 HS;DI COSTANZO / BURGOS vs MALDONADO / PARRA
C6;LA MECA;50;8vos;SABADO 18:15 HS;#34 vs #35
C6;LA MECA;51;8vos;SABADO 18:15 HS;#36 vs #37
C6;LA MECA;52;8vos;SABADO 14:15 HS;#38 vs #39
C6;LA MECA;53;8vos;SABADO 14:15 HS;#40 vs #41
